Job Title,Company,Location,Posting Date,Extract Date,Salary,Summary,JobUrl
Data Analyst (AI Start-up),JobTech Pte Ltd,Singapore,EmployerActive 14 days ago,2022-05-18,"$3,500 - $5,000 a month","Obtain data insights from raw data and present them in a meaningful manner in the form of data reports, visualisations or analysis.",https://sg.indeed.com/company/JobTech-Pte.-Ltd./jobs/Data-Analyst-285e3c50845c88ad?fccid=a1731e03ac2b7279&vjs=3
Data Analyst,Singapore Life Ltd.,Singapore,Posted9 days ago,2022-05-18,,"Good understanding of data structure, database and data modeling.
Identify source of data and work with Data Engineers to create datasets for analytics projects…",https://sg.indeed.com/rc/clk?jk=f7f7d51726b3e0a0&fccid=5d438e6f0060509b&vjs=3
Data Transformation Analyst,S&P Global,Remote in City Hall,Posted21 days ago,2022-05-18,,"To actively research and scrutinize a variety of data sources to extract and evaluate relevant data.
Previous work experience with databases and data research.",https://sg.indeed.com/rc/clk?jk=9ca08ae9cfe6c7db&fccid=b716e44d2c6283e7&vjs=3
Data Analyst,Singtel,Singapore 239732,Posted30+ days ago,2022-05-18,,"Oversee and maintain the data structure/dictionary and architecture within SCM.
You will manage the data structure and architecture in SCM and develop the…",https://sg.indeed.com/rc/clk?jk=aa92356af11065b1&fccid=a94c6bb50f118c9f&vjs=3
Data Transformation Analyst,S&P Global,Remote in City Hall,Posted21 days ago,2022-05-18,,"To actively research and scrutinize a variety of data sources to extract and evaluate relevant data.
Previous work experience with databases and data research.",https://sg.indeed.com/rc/clk?jk=9ca08ae9cfe6c7db&fccid=b716e44d2c6283e7&vjs=3
Data Analyst,Singtel,Singapore 239732,Posted30+ days ago,2022-05-18,,"Oversee and maintain the data structure/dictionary and architecture within SCM.
You will manage the data structure and architecture in SCM and develop the…",https://sg.indeed.com/rc/clk?jk=aa92356af11065b1&fccid=a94c6bb50f118c9f&vjs=3
"Intern, Data Analytics",Siemens Healthcare Pte Ltd,Central Singapore,Posted6 days ago,2022-05-18,,"You will work with collaborators to collect data for research projects.
You will help implement systems for data collection, cleaning, analysis, and…",https://sg.indeed.com/rc/clk?jk=582103962952c3a1&fccid=ea6bb53f0b18b8f2&vjs=3
[SG] Business Intelligence (BI) Analyst,Doctor Anywhere,Singapore,Posted5 days ago,2022-05-18,,"Departments) and the other data functions (data engineers, data analysts, and data scientists) to analyse business requirements and transform them to solutions …",https://sg.indeed.com/rc/clk?jk=ea2511765c13f640&fccid=3c6241bbca180896&vjs=3
Data Analyst (Intern),Spenmo,Singapore,Posted30+ days ago,2022-05-18,"$10,000 a month","Familiarity with data visualization concept and tools.
Assist with building dashboards and reports to visualise and interpret business data in supporting…",https://sg.indeed.com/rc/clk?jk=bda17e3761075937&fccid=d2ab3877ffb333c5&vjs=3
Investment Data Analyst,Stoic Capital Pte Ltd,Singapore,Posted30 days ago,2022-05-18,,Scoping out data requirements and establishing the data framework we’re looking to leverage on in analysing trends and opportunities.,https://sg.indeed.com/rc/clk?jk=dc13c87b1bb2700a&fccid=68d247e0db4174ff&vjs=3
Data Analyst,Binance,Singapore,Posted30+ days ago,2022-05-18,,"Analyze and interpret large (PB-scale) volumes of transactional, operational and customer data using proprietary and open source data tools, platforms and…",https://sg.indeed.com/rc/clk?jk=ca5f35c217ca1779&fccid=ac2ee5578fa99fc9&vjs=3
Data Analyst (SG),Spenmo,Singapore,Posted30+ days ago,2022-05-18,"$10,000 a month","Design and develop ETL processes to ingest data into data warehouse, and transform data into data models suitable for business intelligence and analytics needs.",https://sg.indeed.com/rc/clk?jk=d94452d71d2e82d6&fccid=d2ab3877ffb333c5&vjs=3
Business and Data Analyst Intern / Trainee,SWAT Mobility Pte. Ltd.,Singapore,Posted30+ days ago,2022-05-18,"$1,000 - $2,000 a month","Collaborate with project, marketing and product teams to make data-driven decisions.
Extract and Analyse real operation data to identify underlying patterns,…",https://sg.indeed.com/rc/clk?jk=83232d1e298808ee&fccid=81d0cdcd2f844676&vjs=3
Consulting Analyst Program - SG,Deloitte,Singapore,Posted30+ days ago,2022-05-18,,"In addition, you will contribute directly to the development of proposals, presentations and publications.
Strong academic performance in your bachelor, master…",https://sg.indeed.com/rc/clk?jk=05a0d0e5bd89903e&fccid=9e215d88a6b33622&vjs=3
"Data Analyst, Ads, Trust and Safety",Google,Singapore,Posted30+ days ago,2022-05-18,,"3 years of experience in data analysis working with databases and querying (e.g., SQL, MySQL, Python, etc.).
Bachelor's degree in Engineering, Computer Science,…",https://sg.indeed.com/rc/clk?jk=0c67e02264024160&fccid=a5b4499d9e91a5c6&vjs=3
Customer Intelligence Analyst,Procter & Gamble,Singapore,Posted27 days ago,2022-05-18,,Analyzing of customer order data to recommend differentiated solutions/service opportunities that contributes to organization’s value creation targets.,https://sg.indeed.com/rc/clk?jk=c7cb7abcc93bb425&fccid=2da0dedf6df97194&vjs=3
Business Analyst,Telenor,Singapore,Posted5 days ago,2022-05-18,,"Provide recommendations for data improvement, quality, and efficiency of data.
The role will need to have a meticulous eye for data and appreciates the process…",https://sg.indeed.com/rc/clk?jk=a2cc23751f5534ec&fccid=00cb96e3f3922560&vjs=3
"Analyst, Global Investments, Strategy & Risk - Private Equity focus (Contract)",GIC Investment,Singapore,Posted14 days ago,2022-05-18,,"The Global Investments, Strategy and Risk (GISR) group is based in Singapore and plays a key role in supporting the Infrastructure Chief Investment Officer (CIO…",https://sg.indeed.com/rc/clk?jk=fcf34a674e661dda&fccid=952d1d016b8b0e30&vjs=3
Data Analyst (AI start-up) (6 months),JobTech Pte Ltd,Bukit Timah,Employer30+ days ago,2022-05-18,"$3,500 - $5,000 a month","Obtain data insights from raw data and present them in a meaningful manner in the form of data reports, visualisations or analysis.",https://sg.indeed.com/company/JobTech-Pte.-Ltd./jobs/Data-Analyst-3264d5a14d1ee380?fccid=a1731e03ac2b7279&vjs=3
Data Analyst (AI start-up) (6 months),JobTech Pte Ltd,Bukit Timah,Employer30+ days ago,2022-05-18,"$3,500 - $5,000 a month","Obtain data insights from raw data and present them in a meaningful manner in the form of data reports, visualisations or analysis.",https://sg.indeed.com/company/JobTech-Pte.-Ltd./jobs/Data-Analyst-3264d5a14d1ee380?fccid=a1731e03ac2b7279&vjs=3
iTero Data and Reporting Analyst,AlignTech,Singapore,Posted20 days ago,2022-05-18,,"Strong logical thinking and good data analysis ability, able to establish recommendations with data support.
The Role of iTero Data and Reporting Analyst is to…",https://sg.indeed.com/rc/clk?jk=65a6986cfdc3a62e&fccid=5d6a5521c3a684d6&vjs=3
"Data Analyst, Growth",TikTok,Singapore,Posted30+ days ago,2022-05-18,,"Experienced in data analyzing, visualization and reporting;
Skilled in data manipulation with SQL, python or other programming-languages/tools;",https://sg.indeed.com/rc/clk?jk=ce6a7e680bba6728&fccid=caed318a9335aac0&vjs=3
Data Analyst,Bioquest Advisory,Singapore,EmployerActive 7 days ago,2022-05-18,"$3,000 - $6,000 a month","Preparing data pipeline through data cleansing and transformation, would involve data calculations and manipulations.
Machine Learning: 1 year (Preferred).",https://sg.indeed.com/company/Bioquest-Advisory-Pte.-Ltd./jobs/Data-Analyst-134ba443aab17877?fccid=e9ed9378e31beeeb&vjs=3
Supply Chain (Data Analytics) Internships - Singapore,Dyson,Singapore,Posted1 day ago,2022-05-18,,"Conduct data analysis projects using Python or R and common open source tools for data processing.
Conduct trainings on data concepts and specific tools.",https://sg.indeed.com/rc/clk?jk=3f40dfbe99dc3705&fccid=366382f52796fce2&vjs=3
Data Analyst,Oddle,Singapore,Posted30+ days ago,2022-05-18,,"Strong foundation in data query/manipulation using SQL.
Experience with data visualisation using tools like PowerBI, Tableau is a plus.
Who we're looking for.",https://sg.indeed.com/rc/clk?jk=a9f7695b0672fb88&fccid=2d315c6bd4648c45&vjs=3
Data Analyst - PGT,PARADIGM RECRUITMENT PTE. LTD.,Singapore,Posted4 days ago,2022-05-18,"$5,000 - $7,000 a month","Work in a team of experts in the field of data & analytics and are involved in various projects with exciting topics such as campaign optimization, data story…",https://sg.indeed.com/rc/clk?jk=2b96733b6819926e&fccid=0daeb44aa7f03e02&vjs=3
Data Analyst,GUMI ASIA PTE. LTD.,Singapore,Posted6 days ago,2022-05-18,"$3,500 - $5,000 a month","Work with back end developers to define data points.
Analyse marketing-specific data and proactively make recommendations to the User Acquisition team for…",https://sg.indeed.com/rc/clk?jk=053d84ae81215e9b&fccid=6b792ae0bf8a6dac&vjs=3
Esports Analyst,HyperLive Entertainment Pte Ltd,Singapore+1 location,EmployerActive 2 days ago,2022-05-18,"$2,500 - $4,000 a month","1 year experience in data-analysis preferred.
Adept at working with numbers and generating/parsing data.
Excellence in visual representation to present data…",https://sg.indeed.com/company/HyperLive-Entertainment-Pte-Ltd/jobs/Esport-Analyst-1ab9d48e68077849?fccid=d5b2875d38bcb19e&vjs=3
Venture Data Analyst (VC Startup/Remote/Southeast Asia),MERIDIAN BUSINESS SUPPORT PTE. LTD.,Remote in Singapore,Posted4 days ago,2022-05-18,"$2,000 - $3,000 a month","Uses research, intuition, and experience to complement data Database optimization:
Customize existing CRM database via code to enable more efficient and…",https://sg.indeed.com/rc/clk?jk=909f6840706b92aa&fccid=29ddf20eb2a81262&vjs=3
Data Reporting Analyst,Aviva,Singapore,Posted30+ days ago,2022-05-18,,"Proficient in MS Office and data visualization tools (e.g. Qlik Sense or Tableau, SQL).
The purpose of the role is to provide valuable financial analysis and…",https://sg.indeed.com/rc/clk?jk=8ea9f9d2b6347690&fccid=354f4c12e3c6bd5a&vjs=3
"Analyst, Reference Data & Reconciliation Specialist, IBG Ops",DBS Bank,Singapore,Posted22 days ago,2022-05-18,,"DBS Institutional Banking Group provides corporate customers with a full range of commercial banking products and services, including cash management services,…",https://sg.indeed.com/rc/clk?jk=5cef18de846b70b7&fccid=cc1f9ea511d140fe&vjs=3
Junior Analyst,PETRO-WIN RESOURCES PTE. LTD.,Singapore,Posted5 days ago,2022-05-18,"$4,000 - $6,000 a month","Develop, coordinate and support initiatives for technology and data for trading data analytics in conjunction with stakeholders.",https://sg.indeed.com/rc/clk?jk=0955efc536dfcd79&fccid=c36529c1637fd9b6&vjs=3
Data Analyst,LINESIGHT PTE. LIMITED,Singapore,Posted4 days ago,2022-05-18,"$4,500 - $8,500 a month","Review data quality across the schedule each week, including cost and cash flow data related to client's construction program.",https://sg.indeed.com/rc/clk?jk=805cdb75ecf7ce87&fccid=a56497dc14f7c3a0&vjs=3
Regional Operations (Business Intelligence - Data Analyst),Shopee,Singapore 118265+1 location,Posted30+ days ago,2022-05-18,,"Build and maintain data infrastructure (data pipelines, aggregated data sets, reports, dashboards) to facilitate development of key metrics to measure…",https://sg.indeed.com/rc/clk?jk=b15fa7e8c8afae99&fccid=0b476c4a7add47fe&vjs=3
Regional Operations - Data Analyst,Shopee,Singapore 118265,Posted30+ days ago,2022-05-18,,"Create data reports, visualisations, and meaningful analyses to support our business teams in making data-driven decisions.",https://sg.indeed.com/rc/clk?jk=94099c81ec3de295&fccid=0b476c4a7add47fe&vjs=3
Operations Data Science Analyst,AIA,Singapore,Posted13 days ago,2022-05-18,,"Preparing and reporting on data trends, data gaps and make recommendations on corrective actions.
Experience with data consumption platforms such as Power BI,…",https://sg.indeed.com/rc/clk?jk=67d77ec129c5482e&fccid=004041685e219574&vjs=3
Data Analyst (NCID Prepare Office),Tan Tock Seng,Novena,Posted30+ days ago,2022-05-18,,"Data extraction, cleaning, processing and management;
The Co-op is building a core data and research analytic team that will generate and provide empirical data…",https://sg.indeed.com/rc/clk?jk=cc9992ca7fa06af1&fccid=b0babaafc9cc3312&vjs=3
Data analyst,PARADIGM RECRUITMENT PTE. LTD.,Singapore,Posted3 days ago,2022-05-18,"$5,000 - $7,000 a month","Driving data story telling by leveraging on business analytics and visualisation.
Experience in optimising campaigns/sales by leveraging data and analytics.",https://sg.indeed.com/rc/clk?jk=ecab78b4a47e8fe5&fccid=0daeb44aa7f03e02&vjs=3
Data Analyst,Titansoft Pte Ltd,Central Singapore,Posted30+ days ago,2022-05-18,,"Game changer, armed with data.
You know all about our users, through data analysis.
Conduct data analysis to support Product Owner and Business Leaders in…",https://sg.indeed.com/rc/clk?jk=dadc5b6abf77142a&fccid=edc15bd85c69527e&vjs=3
Data Analyst (Marketing Analytics),Shopee,Singapore,Posted30+ days ago,2022-05-18,,"With support from data engineers, work with big data at Shopee using Hadoop ecosystem.
Passionate about data and solving challenging problems.",https://sg.indeed.com/rc/clk?jk=89c8403b9f0e6792&fccid=0b476c4a7add47fe&vjs=3
"Business Researcher, Analyst","JPMorgan Chase Bank, N.A.",Singapore,Posted4 days ago,2022-05-18,,"Perform secondary research on inquiries from bankers on financial matters, industry sectors, individuals, company performance, transactions, markets, and…",https://sg.indeed.com/rc/clk?jk=0465f2d96c05131f&fccid=aaf3b433897ea465&vjs=3
Data Analyst,Graebel Companies Inc.,Singapore,Posted18 days ago,2022-05-18,,"Conduct data audits as needed to preserve data integrity.
Facilitate data transformations, resolve data issues, and collaborate on system changes.",https://sg.indeed.com/rc/clk?jk=e57e8507f1ba1942&fccid=2c6a09762a89eca3&vjs=3
Carbon Data Analyst - Stealth ClimateTech Venture,BCG Digital Ventures,Singapore,Posted30+ days ago,2022-05-18,,Transform unstructured data sets provided by clients into structured data which can be ingested into our products data processing pipeline to calculate carbon…,https://sg.indeed.com/rc/clk?jk=e08c51a773938764&fccid=1f69c9c641b4c973&vjs=3
Data Analyst,ZALORA SOUTH EAST ASIA PTE LTD,Singapore,Posted30+ days ago,2022-05-18,,"Work closely with various departments on data-related requests (issues, data analysis, automation).
Experience in building impactful data visualization in…",https://sg.indeed.com/rc/clk?jk=e0e74c4dd6ab498b&fccid=44928ed605a0104f&vjs=3
Business Analyst,Klook,Singapore,Posted30+ days ago,2022-05-18,,"Analyze business data regularly to identify business opportunities and operational improvement opportunities.
Fluent spoken and written English.",https://sg.indeed.com/rc/clk?jk=60cd3f29c1845a69&fccid=fc7a245cc4951739&vjs=3
Business Insights Analyst,Amazon Web Services Singapore,Singapore,PostedToday,2022-05-18,,"For data gathering, data cleansing and statistical analysis.
Collaborate with the internal and global data engineering teams on the design, development and…",https://sg.indeed.com/rc/clk?jk=58c48a95acceed14&fccid=fe2d21eef233e94a&vjs=3
Retail Finance BI&A - Data Analyst,SeaMoney,Singapore,Posted30+ days ago,2022-05-18,,"Utilise established data warehousing practices and data visualisations.
Familiar with data visualization tools.",https://sg.indeed.com/rc/clk?jk=9ccc6735938e487f&fccid=04cf7b87da0c2ba4&vjs=3
"Associate, Data Analyst",Garena,Singapore,Posted30+ days ago,2022-05-18,,"Deliver data requests in a timely manner, including but not limited to data extraction, data analysis, data solutions and data visualization.",https://sg.indeed.com/rc/clk?jk=53c0b6dd82416d39&fccid=2aa3fa695ba957e4&vjs=3
Business Development Analyst,PaceSetters Organisation,Singapore,EmployerActive 5 days ago,2022-05-18,,"Understand the business processes with data visualisation to analyse, model and interpret data.
The business analyst will work with the team to help them…",https://sg.indeed.com/company/PaceSetters-Organisation/jobs/Business-Development-Analyst-a68b72ef3d9256a2?fccid=ce2cc02e233a4848&vjs=3
Graduate Programme (Data Analytics),Castlery,Singapore,Posted30+ days ago,2022-05-18,,"You will undergo personalised professional development through our structured training modules, mentorships and networking sessions.",https://sg.indeed.com/rc/clk?jk=caf7078a30622832&fccid=025d14c3ce16b8ae&vjs=3
Data Analyst,WISTECH CONSULTING PTE. LTD.,Singapore,Posted12 days ago,2022-05-18,"$2,500 - $4,500 a month","Identifying patterns and trends in data sets.
Defining new data collection and analysis processes.
Apply ETL/Dedup using available data set.",https://sg.indeed.com/rc/clk?jk=83f6f28abc942285&fccid=d19195540931404b&vjs=3
Data Analyst,WhiteCoat Global,Singapore,Posted30+ days ago,2022-05-18,,Leader in data analytics with more than 10 years of experience using data for key business decisions and product development.,https://sg.indeed.com/rc/clk?jk=45aeb2c89f39e7a4&fccid=25d7579a13a3f287&vjs=3
Data Entry Analyst - Contract (2-3 months),TIBCO SOFTWARE SINGAPORE PTE LTD,Singapore,Posted4 days ago,2022-05-18,"$2,000 - $2,500 a month","Working with our Senior Sales Operations Director, we are looking for two individuals to provide data entry/data cleansing support for our Salesforce project.",https://sg.indeed.com/rc/clk?jk=6f6c44590c717b5f&fccid=4abbd69d04f89a18&vjs=3
Data Quality Analyst,RightShip,Singapore,Posted5 days ago,2022-05-18,,"I. Identify data gaps during data migration.
Collaborate on projects to backfill data and improve data quality working closely with database team.",https://sg.indeed.com/rc/clk?jk=4a9f9bec06a147ab&fccid=f81c87c13fd27bd9&vjs=3
Oil Data Analyst,Castleton Commodities International,Singapore,Posted30+ days ago,2022-05-18,,"Strong foundation in data query/manipulation of large-scale data using SQL and data visualisation tools such as Tableau, and PowerBI.",https://sg.indeed.com/rc/clk?jk=fa76b0ffba0428a6&fccid=35d0a2b3180e23db&vjs=3
Data Visualization Developer,BIOQUEST ADVISORY PTE. LTD.,Singapore,Posted1 day ago,2022-05-18,"$3,000 - $6,000 a month","Working with the data science team to understand data inputs to BI tool - data definition and integration with data sources, machine learning algorithms,…",https://sg.indeed.com/rc/clk?jk=37e611385f35eca2&fccid=e9ed9378e31beeeb&vjs=3
Data Analyst,NTUC ENTERPRISE NEXUS CO-OPERATIVE LIMITED,Singapore,Posted13 days ago,2022-05-18,"$6,000 - $12,000 a month","Business, technology, and the data teams to chart out the data analytics practice and.
Decision making for data users.
Mentor junior data analysts in the team.",https://sg.indeed.com/rc/clk?jk=c3c4644bd02b49ae&fccid=c11170ec551910c0&vjs=3
Data Analyst (Game Operations),Garena,Singapore,Posted30+ days ago,2022-05-18,,"Design tailored end-to-end data solutions for different game genres across different markets, including but not limited to dashboard design and implementation,…",https://sg.indeed.com/rc/clk?jk=de178a0022ad95cc&fccid=2aa3fa695ba957e4&vjs=3
Data Analyst,Neuron Mobility,Singapore,Posted30+ days ago,2022-05-18,,"Collate, comprehend and answer requirements of key stakeholders relating to data management.
Translate data insights into actions and decisions that will drive…",https://sg.indeed.com/rc/clk?jk=b31ca2e1e7834d3d&fccid=881552021dafdb85&vjs=3
Initiatives Master Data Operations Analyst,Procter & Gamble,Singapore,Posted27 days ago,2022-05-18,,"Strong analytical and data management skills.
Finished Product Codes & Plant Level master data.
Tasks are a grouped-on type of master data:",https://sg.indeed.com/rc/clk?jk=87868c138ca81de5&fccid=2da0dedf6df97194&vjs=3
Web Data Analyst,Mediaone Business Group Pte. Ltd.,Remote in Singapore,Posted30+ days ago,2022-05-18,"$2,800 - $4,500 a month","Use audit tools to generate data.
Love data and the challenge of uncovering issues and recommending solutions through analysis.",https://sg.indeed.com/rc/clk?jk=e94e3f02c8e41764&fccid=60c66df1bb4afeba&vjs=3
Data Science Analyst - TikTok,TikTok,Singapore,Posted27 days ago,2022-05-18,,"Experience in data analysis of Internet companies is preferred.
Analyze business data in different markets, formulate targeted recommendation strategies, and…",https://sg.indeed.com/rc/clk?jk=111faee5bd484ddd&fccid=caed318a9335aac0&vjs=3
Research Risk Analyst/ Associate- Singapore,Morgan Stanley,Singapore,Posted1 day ago,2022-05-18,,"We are seeking an analyst-level or associate-level candidate to work in our Research Risk team.
Through relevant and timely conversations with leading investors…",https://sg.indeed.com/rc/clk?jk=50f725510410b1c2&fccid=0c39fb2c91742dcf&vjs=3
